"","Year","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","WIN","SPR","SUM","AUT","ANN"
"1",1929,31.6,34.6,158.1,146.6,200.4,181,185.8,153.5,164.2,113.2,62.3,49.3,"---",505.1,520.3,339.7,1480.6
"2",1930,53.3,45.4,99.4,93.6,154.7,203.2,154.3,181.9,99.7,118.2,77.9,26.9,"148.0",347.7,539.4,295.8,1308.5
"3",1931,63.8,52.7,138.6,121.2,169.7,144.5,118.7,157.5,86.5,136.2,46.1,45,"143.4",429.5,420.7,268.8,1280.5
"4",1932,66.2,71.1,97.3,134.6,100.4,179.8,126,138.2,139.9,83.3,38.9,41.8,"182.3",332.3,444,262.1,1217.5
"5",1933,42.6,70.6,153,117.4,121,226.4,209.8,204,152.8,79.8,44.6,29,"155.1",391.4,640.1,277.2,1450.9
"6",1934,60.4,95.6,96.1,114.2,177.4,170,238.3,166.2,152.7,92.4,41.3,18,"184.9",387.8,574.5,286.5,1422.6
"7",1935,43.1,47,101.2,129.4,209,177.1,244.1,183.7,136,83.4,45.4,46.3,"108.1",439.5,605,264.8,1445.8
"8",1936,46.3,71.3,58.6,174,162.8,182.7,138.2,177.3,96.1,103.8,57.4,50,"163.9",395.4,498.2,257.3,1318.4
"9",1937,38.7,75.8,82.7,76.2,161.5,159.6,124.3,149.6,128.7,68.5,54.1,28.8,"164.5",320.4,433.4,251.3,1148.4
"10",1938,50.9,57.4,115.5,138.9,164.8,183,143.6,145.5,105.2,101.7,72.4,39.4,"137.1",419.2,472,279.4,1318.3
"11",1939,42.3,75,94.5,160.3,178.8,203.3,147,134.1,98.8,90.9,50.3,37.5,"156.8",433.6,484.5,240,1313
"12",1940,49.5,28.9,101.6,106.7,212.7,279,154,157.4,156.5,68.2,56.6,37,"115.9",421.1,590.5,281.3,1408.3
"13",1941,28.9,61.6,94.5,98,142.5,187.2,173,155.7,79.1,90.7,38.7,42.5,"127.6",335,515.9,208.5,1192.5
"14",1942,18.7,40.8,68.2,207.6,195.2,196.4,177.4,111.9,147.8,95,45.6,30.2,"102.0",470.9,485.7,288.4,1334.8
"15",1943,44.2,99.7,124.7,153.5,222.4,185.7,194.7,123.9,132.3,93.1,67.1,42.7,"174.1",500.6,504.3,292.5,1483.9
"16",1944,36.8,47.9,116.3,128.7,163.3,149.1,99.8,151.1,125.6,89.7,50.9,39.1,"127.3",408.3,399.9,266.1,1198.1
"17",1945,48,68.1,119.4,174.8,162,183.6,183.5,147.6,112.5,94.5,39.7,36.1,"155.2",456.2,514.7,246.7,1369.8
"18",1946,36.5,87.5,103.4,164.9,186.2,184.3,174,133.7,103.5,63.2,32.2,50.2,"160.0",454.5,492.1,198.9,1319.5
"19",1947,41.2,34.2,69.8,145.2,176.7,156.8,166.6,236.7,143.5,88.7,92.8,35.1,"125.6",391.7,560.2,325,1387.3
"20",1948,35.1,56,142.2,173.8,212,158.7,163.4,108.9,111.6,88.6,58.5,43.7,"126.2",527.9,431,258.7,1352.5
"21",1949,51.7,106.2,94.9,149.5,208.8,234.7,195.9,177.1,128.1,93.7,54.1,46.1,"201.7",453.3,607.7,275.9,1540.9
"22",1950,26.8,78,125.7,138.4,131.8,230.4,181.3,155.8,108.2,97.3,54.3,36.7,"150.9",396,567.5,259.9,1364.8
"23",1951,48.3,60,88.6,172.2,145.2,199.6,179.6,143.5,124.3,106.3,54.5,49.9,"145.1",406,522.8,285.2,1372.2
"24",1952,66.3,83,85.4,158,198.5,174.6,179.5,172.1,101.4,107.1,65.6,49.3,"199.2",441.9,526.2,274.1,1440.8
"25",1953,40.8,62.3,136.1,154.7,202.5,121.7,168.9,180.4,141.9,82.3,44.6,31.6,"152.4",493.3,471.1,268.8,1367.9
"26",1954,43.4,43.9,87.2,147.1,141.9,129.7,137.1,104.4,159.1,84.7,66.8,45.5,"118.9",376.2,371.2,310.6,1190.8
"27",1955,37.6,75.7,137.1,157.2,192.5,169.3,251.7,172.4,153.1,121.2,45.3,49.8,"158.8",486.8,593.3,319.6,1562.8
"28",1956,54.7,54.7,118.7,156.8,228.1,140.3,151.8,128.1,110.5,112.9,57.2,23.3,"159.2",503.7,420.2,280.6,1337.1
"29",1957,44.4,85.8,86.7,141.5,199.8,271.5,121,123.9,119.7,89.1,58.4,45.8,"153.5",428.1,516.4,267.2,1387.8
"30",1958,59.7,64.1,105.7,142.7,162.1,119.9,167.5,139.2,129,107.3,51.1,32.1,"169.6",410.6,426.6,287.4,1280.5
"31",1959,81.6,49.2,83.7,152.2,216.8,211.9,216.4,195.6,164.6,133.2,46.6,27.5,"163.0",452.7,624,344.5,1579.5
"32",1960,36.1,76.8,59.3,147.1,190.8,246.1,139.1,155.9,108.1,51.4,55.5,46.4,"140.4",397.2,541.1,215,1312.5
"33",1961,42.9,62.4,128.5,95.2,177.7,183.9,126.8,175.4,125.5,105.4,66.4,43.9,"151.7",401.5,486,297.3,1333.9
"34",1962,64.5,70.9,109.5,150.3,160.3,212.9,112.6,148.5,89.9,96.5,49.7,62.4,"179.3",420.1,473.9,236,1327.9
"35",1963,54.8,64.3,97.9,112.5,181.3,180,170.3,109.5,154.5,91.8,42.3,35.7,"181.5",391.7,459.9,288.6,1295
"36",1964,55.5,59,42.5,111.4,201.6,134.9,171.5,166.7,159.5,101.5,59.9,42.8,"150.2",355.6,473.1,320.8,1306.8
"37",1965,63.6,34.3,114.7,150.8,156.1,169.3,96.2,157.1,85.6,92.3,61.7,50.6,"140.8",421.6,422.6,239.6,1232.3
"38",1966,24.4,35.5,115.5,84.2,203,137.3,166.7,143.5,115,71,50.6,49.2,"110.5",402.7,447.6,236.5,1195.9
"39",1967,64.3,75.6,145.8,115,135.8,206.5,188.3,141.2,104.9,103.8,61.1,57.7,"189.2",396.6,536,269.7,1400
"40",1968,40.8,63.3,102.3,181.1,141.7,198.7,106.8,124.7,108.6,62.7,32,31.5,"161.8",425.1,430.2,203.3,1194.1
"41",1969,30.4,61.2,64.3,158.2,123.5,235.8,205.3,135.8,99.1,94.8,66.7,25.1,"123.1",346,576.9,260.6,1300.2
"42",1970,31.2,96.6,117.5,134.9,177.1,241.2,143.1,168.9,126,99.8,54.5,44.2,"152.9",429.5,553.3,280.2,1434.9
"43",1971,33,65.8,84.4,105.7,219.6,123.6,206.7,124.9,151.8,116.6,69.5,34,"143.0",409.7,455.2,338,1335.7
"44",1972,36.8,33.7,114.8,112.1,157.6,148,153.2,177.2,103.6,88.5,64.4,32.6,"104.4",384.5,478.3,256.5,1222.4
"45",1973,36,95.8,114.6,138.5,167.5,209.5,131.9,166.2,126.7,76.8,88.3,54,"164.5",420.6,507.6,291.8,1405.9
"46",1974,54.2,62.4,88.8,118.5,198.4,176.4,151.2,172.1,123.1,75.5,57.6,53.7,"170.7",405.8,499.7,256.1,1331.9
"47",1975,41.8,43.5,95.2,115.3,187.4,243.4,182.4,227.4,134.6,90.8,72.7,53.9,"139.0",397.9,653.2,298.1,1488.4
"48",1976,48,45.9,98.5,123.1,130.4,240.2,255.5,226.3,83.8,66.9,65,53.8,"147.9",352,722,215.7,1437.3
"49",1977,50.5,55.4,86.5,157.2,209.3,163.2,166.9,149.5,100.3,92.7,79.1,38.5,"159.7",453,479.6,272.1,1349.1
"50",1978,45.8,49.9,113.5,96.1,192.5,164.2,138.8,108.2,123.4,86.2,71.5,21.3,"134.2",402,411.2,281.1,1211.3
"51",1979,50.1,55.6,86.1,107.8,163.2,183.2,165.9,147.8,161.4,93.8,71,47.9,"127.0",357.2,497,326.2,1334
"52",1980,46.4,33.9,83.9,159.2,218.1,146.6,135.5,131.3,127.6,104.4,49.7,45.9,"128.2",461.1,413.4,281.7,1282.4
"53",1981,51.9,63.1,63.9,134,167.2,164.9,158.9,170.1,153.9,132.5,57.7,46.3,"160.9",365.1,494,344,1364.4
"54",1982,53.5,56.5,145.1,162.1,223.3,123.5,166.4,158.4,149.9,59.8,54.1,44.8,"156.3",530.5,448.3,263.8,1397.5
"55",1983,58.6,64.5,84.2,121.6,107.6,160.1,196.2,188.3,111,109.6,43.7,43.7,"167.9",313.4,544.6,264.2,1289.1
"56",1984,59.5,55.1,48.1,199.3,177.9,181,212.4,188.6,98.5,107.6,44.7,47.7,"158.3",425.3,582,250.8,1420.5
"57",1985,38,70.9,110.3,110.9,136.5,166,164.1,146.2,116,103.7,84.8,34.6,"156.7",357.6,476.3,304.5,1282
"58",1986,59.9,62.8,123.8,112.8,197.4,197.7,162.5,118.7,184.4,123.2,76.5,48.9,"157.3",434.1,479,384.1,1468.7
"59",1987,48,67.1,97.2,144.1,175.3,103,154.7,125.7,157,96.8,49.5,26.8,"164.0",416.6,383.4,303.3,1245.1
"60",1988,47.1,107.2,96.3,112.5,182.1,178,143.6,180.7,142,92.3,88.6,53.2,"181.1",390.9,502.3,322.9,1423.6
"61",1989,61,96.1,113.5,121.8,251.8,227.4,245.9,218.2,128.8,91.3,75.7,28.7,"210.3",487.1,691.6,295.9,1660.5
"62",1990,58.2,72.1,131.6,195.1,212.3,114,235.3,209,123.2,85.9,51.6,41.4,"159.0",539,558.3,260.7,1529.6
"63",1991,73.2,49.3,66.7,147.8,127.6,142.5,185,195.9,166.4,75.7,57.2,48.5,"163.9",342,523.3,299.3,1335.7
"64",1992,58.8,77.5,89.6,119.3,231.6,193.7,161.6,173.8,109.4,84.7,66.4,36.7,"184.8",440.6,529.1,260.5,1403.2
"65",1993,43.4,48.6,110.8,103.9,161.7,175.1,166,161.2,88.9,92.7,41.4,48.3,"128.7",376.4,502.4,223,1242
"66",1994,62.7,61.5,123.3,168.3,156.3,208.6,203.1,165,110.5,94.9,56.5,56,"172.5",447.9,576.7,262,1466.8
"67",1995,54.3,86.6,152.7,165.9,193.4,180.9,219.1,248.8,124.7,125.9,56.4,35.2,"196.8",512,648.8,307,1643.8
"68",1996,14.1,80.1,44.9,121.2,183.6,222,208,177.4,111,112.6,83.6,41.1,"129.5",349.7,607.4,307.2,1399.7
"69",1997,41.7,83.8,132.1,131.5,215.6,128,205,185.6,156.4,110.9,37.4,31.8,"166.6",479.2,518.7,304.8,1460
"70",1998,43.4,84.2,80,114.7,176.3,128.7,145.8,165.4,93.6,109.6,67.2,38.9,"159.4",371,439.9,270.4,1247.8
"71",1999,62.7,96.1,105.1,148.7,161.5,160,211.6,138.8,158,104.6,62.8,64.7,"197.7",415.2,510.4,325.4,1474.6
"72",2000,75.3,96.1,121.4,129.3,190.2,157.3,127.9,187.8,99.9,100.5,61.1,52.3,"236.1",440.9,473.1,261.5,1399.2
"73",2001,73.1,94.2,109.9,124.5,247.7,165.1,173.5,170.7,97.2,109.1,60,65.8,"219.6",482.2,509.3,266.3,1490.9
"74",2002,43.5,79.5,121.5,190.6,167.6,162,154.6,147.3,129.7,90.3,49.2,29.8,"188.8",479.7,463.9,269.2,1365.6
"75",2003,56.8,100.9,171.3,192.7,186.8,212,179.8,207.7,162.1,129.8,65.2,61.6,"187.5",550.7,599.6,357.1,1726.7
"76",2004,45.8,91.8,104.9,116.3,209.8,177.9,163.7,158.6,155.8,92.3,49.2,62.3,"199.2",431,500.1,297.3,1428.4
"77",2005,56.4,72.6,66.3,151.8,219.7,185,169.9,184.9,155.2,59,97.8,58.5,"191.3",437.7,539.8,312,1477
"78",2006,44.1,64.1,93,171.3,195.8,204.1,295,139.6,162.3,90.4,95.6,62.1,"166.6",460.1,638.8,348.2,1617.4
"79",2007,73.2,76.4,137.7,200.2,160.1,134.8,171.7,198.9,148.4,117.5,71.4,43.2,"211.7",497.9,505.4,337.3,1533.3
"80",2008,48.6,114.2,134.6,131.9,211.3,178.2,185,110.4,104.2,126.2,66.2,56.6,"206.0",477.9,473.5,296.6,1467.4
"81",2009,53,59.1,162.1,158.5,229.7,191.1,189.3,173.4,136.5,87.3,73.2,65.2,"168.8",550.2,553.8,297,1578.4
"82",2010,54,53.3,124.3,174.2,210.8,220.2,152.3,164.6,134.7,105.2,74.7,59.5,"172.5",509.2,537.1,314.6,1527.8
"83",2011,56.8,54.1,132.4,216.9,210.3,196.5,175.3,138.9,151.4,105.6,57.5,52.6,"170.5",559.6,510.7,314.4,1548.3
"84",2012,73.6,74.2,176.6,106.5,194.1,107.5,145.1,155.1,156.2,107.7,69.3,57.9,"200.3",477.1,407.8,333.3,1423.8
"85",2013,44.4,77.7,69.2,168.3,180.9,176.7,242.7,180.8,136.4,82,87.8,58.3,"180.0",418.4,600.3,306.2,1505.2
"86",2014,50.2,84.5,132.5,129.2,164.1,165.5,229.6,187,115,94.9,47.2,77.6,"192.9",425.8,582.2,257.1,1477.3
"87",2015,76.4,94.7,125.5,224.4,190.8,205.1,179.2,180.6,164.9,90.7,48.2,37.5,"248.7",540.6,565,303.8,1618
"88",2016,37.3,103.5,112.2,163.7,198.4,135.6,187.8,202.8,143,101.7,82.4,53.9,"178.3",474.3,526.2,327.1,1522.3
"89",2017,59.7,62,136,177.5,205.6,176.7,179.2,183.3,118.3,84.5,89.3,65.9,"175.6",519.2,539.2,292.1,1538.1
"90",2018,56.9,81.8,83.4,126.6,264,228.3,249.5,167.9,204.6,474,645.7,NA,"",NA,NA,NA,NA
